term,id,type,resolver_verdict,resolver_orgid,resolver_match,ftc_url,current_org_ref,decision,override_orgid,note
Homeless Link,homeless-link,organisation,,,,,findthatcharity org ID GB-CHC-1089173,keep,,Applied (Find That Charity).
ICB,icb,organisation,review_high,GB-CHC-1059946,North Cumbria Hospitals NHS Charity (GB-CHC-1059946),https://findthatcharity.uk/orgid/GB-CHC-1059946,,blank,,"ICBs not yet on FTC; GB-NHS-01H is a stale CCG-era fragment, not the ICB."
IRISi,irisi,organisation,,,,,findthatcharity org ID GB-CHC-1214477,keep,,Applied (Find That Charity).
JCUH,jcuh,organisation,,,,,findthatcharity org ID XI-ROR-02vqh3346,keep,,Applied (Find That Charity).
LA,la,organisation,review_high,GB-CHC-1084419,The Society of Local Authority Chief Executives and Senior Managers (Solace Group) Ltd (GB-CHC-1084419),https://findthatcharity.uk/orgid/GB-CHC-1084419,,blank,,"Generic term (Local Authority), not one organisation."
Lawn Tennis Association,lawn-tennis-association,organisation,review_high,GB-CHC-1206769,Oxfordshire Lawn Tennis Association (GB-CHC-1206769),https://findthatcharity.uk/orgid/GB-CHC-1206769,Companies House GB-COH-07459469,keep,,Applied (Companies House).
Live Well South Tees Board,live-well-south-tees-board,organisation,review_low,GB-CHC-1204999,Live Well North East (GB-CHC-1204999),https://findthatcharity.uk/orgid/GB-CHC-1204999,,blank,,Local partnership board; no org record.
Middlesbrough Council,middlesbrough-council,organisation,,,,,findthatcharity org ID GB-LAE-MDB,keep,,Applied (Find That Charity).
Ministry of Justice,ministry-of-justice,organisation,,,,,findthatcharity org ID GB-GOR-D18,keep,,Applied (Find That Charity).
My Sister's Place (MSP),my-sister-s-place-msp,organisation,,,,,findthatcharity org ID GB-CHC-1137319,keep,,Applied (Find That Charity).
NAVCA,navca,organisation,auto,GB-CHC-1001635,National Association for Voluntary and Community Action (GB-CHC-1001635),https://findthatcharity.uk/orgid/GB-CHC-1001635,findthatcharity org ID GB-CHC-1001635,keep,,Applied (Find That Charity).
NENC / NENC ICB,nenc-nenc-icb,organisation,,,,,findthatcharity org ID GB-NHS-01H,keep,,Applied (Find That Charity).
NHS,nhs,organisation,auto,GB-GOR-PB481,NHS England (GB-GOR-PB481),https://findthatcharity.uk/orgid/GB-GOR-PB481,,blank,,Whole system; NHS England is captured as its own entry.
NHS England,nhs-england,organisation,review_high,GB-GOR-PB481,NHS England (GB-GOR-PB481),https://findthatcharity.uk/orgid/GB-GOR-PB481,findthatcharity org ID GB-GOR-PB481,keep,,Applied (Find That Charity).
NICE,nice,organisation,,,,,findthatcharity org ID GB-GOR-PB474,keep,,Applied (Find That Charity).
NIHR,nihr,organisation,,,,,findthatcharity org ID XI-ROR-0187kwz08,keep,,Applied (Find That Charity).
NMC,nmc,organisation,,,,,findthatcharity org ID GB-CHC-1091434,keep,,Applied (Find That Charity).
North East Ambulance Service,neas,organisation,auto,GB-CHC-1078575,North East Ambulance Service Trust Fund (GB-CHC-1078575),https://findthatcharity.uk/orgid/GB-CHC-1078575,,blank,,Not locatable — FTC's NHS dataset is CCG-era / out of date.
North Star,north-star,organisation,,,,,findthatcharity org ID GB-MPR-21256R,keep,,Applied (Find That Charity).
OPCC,opcc,organisation,,,,,,blank,,OPCCs have no Find That Charity record.
PCC,pcc,organisation,review_high,GB-CHC-233463,Metropolitan Police Commissioner's Fund (GB-CHC-233463),https://findthatcharity.uk/orgid/GB-CHC-233463,,blank,,No Find That Charity record.
RCVDA,rcvda,organisation,,,,,findthatcharity org ID GB-CHC-1135959,keep,,Applied (Find That Charity).
Redcar and Cleveland Borough Council,redcar-and-cleveland-borough-council,organisation,,,,,findthatcharity org ID GB-LAE-RCC,keep,,Applied (Find That Charity).
SAMHSA,samhsa,organisation,review_low,GB-CHC-1067108,African and Caribbean Mental Health Services (GB-CHC-1067108),https://findthatcharity.uk/orgid/GB-CHC-1067108,,blank,,US federal agency; not on Find That Charity.
SSE Renewables,sse-renewables,organisation,no_match,,,,Companies House GB-COH-SC117119,keep,,Applied (Companies House).
SWE,swe,organisation,,,,,findthatcharity org ID GB-GOVUK-social-work-england,keep,,Applied (Find That Charity).
SafeLives,safelives,organisation,,,,,findthatcharity org ID GB-CHC-1106864,keep,,Applied (Find That Charity).
South Tees Hospitals NHS Foundation Trust,south-tees-hospitals-nhs-foundation-trust,organisation,,,,,findthatcharity org ID GB-NHS-RTR,keep,,Applied (Find That Charity).
Stockton-on-Tees Borough Council,stockton-on-tees-borough-council,organisation,,,,,findthatcharity org ID GB-LAE-STT,keep,,Applied (Find That Charity).
Sustrans,sustrans,organisation,no_match,,,,findthatcharity org ID GB-CHC-326550,keep,,Applied (Find That Charity).
TEWV,tewv,organisation,,,,,findthatcharity org ID GB-NHS-RX3,keep,,Applied (Find That Charity).
TICA,tica,organisation,,,,,findthatcharity org ID GB-COH-15441846,keep,,Applied (Find That Charity).
TSAB,tsab,organisation,no_match,,,,,blank,,Local safeguarding partnership; no org record.
TVCA,tvca,organisation,,,,,findthatcharity org ID GB-LAE-TVCA,keep,,Applied (Find That Charity).
Tees Valley Rural Action,tees-valley-rural-action,organisation,auto,GB-CHC-1080282,Tees Valley Rural Action (GB-CHC-1080282),https://findthatcharity.uk/orgid/GB-CHC-1080282,findthatcharity org ID GB-CHC-1080282,keep,,Applied (Find That Charity).
VONNE,vonne,organisation,auto,GB-CHC-1084083,Voluntary Organisations' Network North East (GB-CHC-1084083),https://findthatcharity.uk/orgid/GB-CHC-1084083,findthatcharity org ID GB-CHC-1084083,keep,,Applied (Find That Charity).
Vårgrønn,vargronn,organisation,no_match,,,,,blank,,Norwegian company; not registered in England & Wales.
WAWY (We Are With You),wawy-we-are-with-you,organisation,,,,,findthatcharity org ID GB-CHC-1001957,keep,,Applied (Find That Charity).
